AIRLINE_x,TOTAL_FLIGHTS,CANCELLED_COUNT,DIVERTED_COUNT,CANCELLATION_RATE,DIVERSION_RATE,AVG_DEP_DELAY,STD_DEP_DELAY,MEDIAN_DEP_DELAY,AVG_ARR_DELAY,STD_ARR_DELAY,MEDIAN_ARR_DELAY,AVG_AIR_TIME,AVG_DISTANCE,AVG_TAXI_OUT,AVG_TAXI_IN,TOTAL_AIR_SYSTEM_DELAY,TOTAL_AIRLINE_DELAY,TOTAL_WEATHER_DELAY,TOTAL_LATE_AIRCRAFT_DELAY,TOTAL_SECURITY_DELAY,NUM_AIRPORTS_SERVED,NUM_ROUTES,PCT_AIRLINE_DELAY,PCT_WEATHER_DELAY,PCT_LATE_AIRCRAFT_DELAY,MARKET_SHARE,DELAY_VARIABILITY,IATA_CODE,AIRLINE_y,Cluster
AA,725984,10919,2130,1.5040276369727157,0.2933948957552784,8.826106166761345,41.71210596299172,-2.0,3.4513721447256764,44.266750411280256,-6.0,139.80620813959197,1042.3725837558823,17.760880024125623,8.86619397280257,1760561.0,2753994.0,467420.0,2833302.0,16158.0,276,1336,35.16589233007743,5.968510241098854,36.178580298502126,12.475926173196823,9.944517998507688,AA,American Airlines Inc.,1
AS,172521,669,413,0.38777887909298,0.23939114658505342,1.7189262653188597,26.13922367510594,-4.0,-0.9765630924118783,28.6788038677716,-5.0,157.84478444227977,1198.685369140044,15.092732692094565,6.402271361825489,301478.0,347425.0,38832.0,381417.0,5825.0,190,471,32.31929613377775,3.6123563573918327,35.4814102999413,2.9647475141684794,14.50943001914329,AS,Alaska Airlines Inc.,2
B6,267048,4276,730,1.6012102693148795,0.27335909649201645,11.44246723807634,38.360688364801504,-2.0,6.677860800940307,41.400552265502,-5.0,143.85849215011334,1063.0502667511314,17.8634035765259,6.116962166370277,991461.0,1074056.0,115770.0,1417496.0,11417.0,184,645,29.750595534873415,3.2067475486122654,39.26364190349565,4.58917983412839,5.392198860968107,B6,JetBlue Airways,1
DL,875881,3824,1782,0.4365889886868193,0.20345229546022806,7.313299819022722,36.07864125181507,-1.0,0.18675361236390797,38.43922534424771,-8.0,115.66535290569072,853.5969814139208,17.60270833931803,7.203903363879234,1779383.0,2707569.0,602901.0,2136128.0,3910.0,440,1664,37.44965173057243,8.339005387494778,29.545784300205906,15.051883640005576,32.390232432223385,DL,Delta Air Lines Inc.,1
EV,571977,15231,1994,2.6628693111785964,0.3486154163541541,8.615597600369174,38.467361799114514,-3.0,6.585378691739733,40.68236629755788,-4.0,72.76384222138901,461.7018505566451,16.730695878518688,7.629708410244578,1687894.0,2363973.0,169313.0,2628976.0,0.0,491,2225,34.50976882862229,2.4716663386936,38.378337661215305,9.829338972713723,5.363261077770559,EV,Atlantic Southeast Airlines,1
F9,90836,588,158,0.6473204456382932,0.17393984763750056,13.303352203352203,49.44017678203475,-2.0,12.504706404706404,51.5617528176986,-1.0,130.24057054057053,967.1560217560218,15.670806970806971,9.145299145299145,581234.0,346950.0,21616.0,634039.0,0.0,155,567,21.905635610690226,1.3647851833424989,40.0317835335536,1.561003038453336,3.8180580363990195,F9,Frontier Airlines Inc.,0
HA,76272,171,60,0.22419760855884205,0.07866582756450598,0.4699175444825818,24.412891295251804,-4.0,2.023092805197196,25.71493911627524,-2.0,84.8813140279586,632.0270248944648,10.950500387948606,6.840454491655818,6241.0,196422.0,11429.0,126699.0,401.0,51,104,57.569345119463534,3.3497268400196956,37.134223545686886,1.3107228824355195,8.506169268792215,HA,Hawaiian Airlines Inc.,2
MQ,294632,15025,816,5.0995818512585185,0.27695565994189364,9.967186889103306,40.29908806969572,-2.0,6.457873460764516,44.45811217628599,-6.0,66.97962990196957,422.66141661674874,16.54065949044266,9.07322689756843,930774.0,1055033.0,402305.0,1417073.0,7049.0,351,714,27.67492761462177,10.552998582983102,37.17172135813279,5.0632067376985255,5.961231765352121,MQ,American Eagle Airlines Inc.,1
NK,117379,2004,182,1.7072900604026275,0.1550532889188015,15.883100535622825,43.657720716541135,-1.0,14.471799501705833,45.90341040735229,0.0,132.3478857222227,985.7763232140842,14.600730947192972,9.554981639509345,941423.0,471115.0,44088.0,701218.0,5147.0,98,584,21.780719383483333,2.038288647525579,32.41890511795935,2.0171405131293114,2.9669083032191077,NK,Spirit Air Lines,0
OO,588353,9960,1579,1.6928612584621818,0.26837629790278966,7.736083035432566,37.660917297713624,-3.0,5.845652151300072,39.25769435359031,-4.0,75.65501010724428,497.72730204190606,18.1378537968912,6.931693752232088,1333972.0,2043703.0,250325.0,2868684.0,9896.0,546,2234,31.409788245130315,3.8472592360349065,44.088968398144644,10.110758077008407,5.734690207146269,OO,Skywest Airlines Inc.,1
UA,515723,6573,1388,1.274521400053905,0.26913672649852727,14.333055644179753,41.84285440290229,1.0,5.431593935741549,44.08121442162827,-6.0,164.83588571023432,1271.683948385267,17.407923397182145,8.502006845726935,1510372.0,2214313.0,325044.0,2724772.0,1305.0,261,1227,32.67969891699969,4.797126718208874,40.21325285877429,8.862622418427383,6.853855336957898,UA,United Air Lines Inc.,1
US,198715,4067,425,2.0466497244797823,0.2138741413582266,6.08099967563059,28.860856292294745,-2.0,3.7062088424131026,32.37874302343075,-4.0,125.77423374162689,915.3802587747074,18.998512019688707,7.62970914876199,601963.0,636322.0,70557.0,523060.0,6163.0,79,340,34.61912391563954,3.838656413130112,28.45710026576862,3.4148874761796497,6.880005564485019,US,US Airways Inc.,2
VX,61903,534,121,0.8626399366751207,0.19546710175597304,8.993485501567399,32.34856731272504,-1.0,4.737705721003135,35.62157886084763,-3.0,182.63079610762802,1404.3775306948799,14.743534482758621,8.184103970741901,239808.0,130710.0,35264.0,255509.0,1826.0,57,129,19.71145363487891,5.3179152396937495,38.5315110304818,1.063793772175975,6.208331446914959,VX,Virgin America,2
WN,1261855,16043,3409,1.2713822111098343,0.27015782320472637,10.51718323281576,30.59145873054457,0.0,4.3749636792570525,32.774001230739195,-4.0,103.10048510829417,741.7546528783333,11.940594959928461,6.160287764920079,1669198.0,3831371.0,545369.0,6313558.0,11888.0,258,2500,30.96962312381541,4.408310339409075,51.03356261514476,21.684788950278904,6.0975298041956885,WN,Southwest Airlines Co.,1
